,new_cases,china new cases
2020-01-23 00:00:00,2,93
2020-01-24 00:00:00,0,277
2020-01-25 00:00:00,3,483
2020-01-26 00:00:00,3,666
2020-01-27 00:00:00,0,802
2020-01-28 00:00:00,0,2632
2020-01-29 00:00:00,2,576
2020-01-30 00:00:00,0,2054
2020-01-31 00:00:00,2,1659
2020-02-01 00:00:00,1,2088
2020-02-02 00:00:00,2,4737
2020-02-03 00:00:00,0,3086
2020-02-04 00:00:00,2,3989
2020-02-05 00:00:00,4,3729
2020-02-06 00:00:00,3,3144
2020-02-07 00:00:00,1,3522
2020-02-08 00:00:00,1,2703
2020-02-09 00:00:00,3,3012
2020-02-10 00:00:00,9,2516
2020-02-11 00:00:00,11,2021
2020-02-12 00:00:00,1,372
2020-02-13 00:00:00,3,15133
2020-02-14 00:00:00,3,6460
2020-02-15 00:00:00,0,2055
2020-02-16 00:00:00,1,2099
2020-02-17 00:00:00,3,1918
2020-02-18 00:00:00,2,1775
2020-02-19 00:00:00,1,407
2020-02-20 00:00:00,5,453
2020-02-21 00:00:00,0,473
2020-02-22 00:00:00,1,1450
2020-02-23 00:00:00,5,16
2020-02-24 00:00:00,5,214
2020-02-25 00:00:00,5,508
2020-02-26 00:00:00,7,405
2020-02-27 00:00:00,1,433
2020-02-28 00:00:00,2,326
2020-02-29 00:00:00,1,427
2020-03-01 00:00:00,1,575
2020-03-02 00:00:00,4,200
2020-03-03 00:00:00,0,125
2020-03-04 00:00:00,5,120
2020-03-05 00:00:00,0,151
2020-03-06 00:00:00,2,151
2020-03-07 00:00:00,1,79
2020-03-08 00:00:00,6,47
2020-03-09 00:00:00,1,36
2020-03-10 00:00:00,5,22
2020-03-11 00:00:00,6,28
2020-03-12 00:00:00,3,8
2020-03-13 00:00:00,5,8
2020-03-14 00:00:00,6,26
2020-03-15 00:00:00,5,21
2020-03-16 00:00:00,10,20
2020-03-17 00:00:00,7,18
2020-03-18 00:00:00,19,25
2020-03-19 00:00:00,27,27
2020-03-20 00:00:00,48,46
2020-03-21 00:00:00,17,38
2020-03-22 00:00:00,44,86
2020-03-23 00:00:00,34,24
2020-03-24 00:00:00,31,63
2020-03-25 00:00:00,25,46
2020-03-26 00:00:00,45,78
2020-03-27 00:00:00,42,49
2020-03-28 00:00:00,32,60
2020-03-29 00:00:00,51,43
2020-03-30 00:00:00,46,35
2020-03-31 00:00:00,57,1590
2020-04-01 00:00:00,57,159
2020-04-02 00:00:00,47,80
2020-04-03 00:00:00,47,89
2020-04-04 00:00:00,22,76
2020-04-05 00:00:00,29,75
2020-04-06 00:00:00,32,112
2020-04-07 00:00:00,21,60
2020-04-08 00:00:00,25,192
2020-04-09 00:00:00,13,102
2020-04-10 00:00:00,16,75
2020-04-11 00:00:00,11,82
2020-04-12 00:00:00,4,165
2020-04-13 00:00:00,5,107
2020-04-14 00:00:00,3,77
2020-04-15 00:00:00,4,95
2020-04-16 00:00:00,1,105
2020-04-17 00:00:00,4,409
2020-04-18 00:00:00,2,69
2020-04-19 00:00:00,2,61
2020-04-20 00:00:00,0,61
2020-04-21 00:00:00,4,66
2020-04-22 00:00:00,4,52
2020-04-23 00:00:00,2,38
